CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6429619,2,1,4,M,53,2,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6429621,2,1,3,M,76,2,9,-,-,0,"SAN DIEGO","SAN DIEGO",2014
6429630,1,1,2,M,25,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6429630,2,1,4,M,21,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6429634,1,1,2,M,6,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6429634,2,1,4,M,49,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6433215,1,1,4,M,58,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6433215,2,1,2,M,1,0,9,M,Q,0,"SAN DIEGO","SAN DIEGO",2014
6435254,2,1,4,M,29,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6439778,1,1,4,M,22,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6439779,1,1,4,F,60,4,9,-,X,3,"SAN DIEGO","SAN DIEGO",2014
6439787,2,1,4,M,57,4,0,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6439813,1,1,4,M,63,3,9,-,V,1,"SAN DIEGO","SAN DIEGO",2014
6439825,1,1,4,M,47,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6439825,2,1,2,F,1,0,4,P,Q,0,"SAN DIEGO","SAN DIEGO",2014
6439825,2,2,2,F,2,0,6,P,Q,0,"SAN DIEGO","SAN DIEGO",2014
6439853,2,1,4,M,41,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2014
6439889,1,1,4,M,56,3,0,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6441864,1,1,4,M,30,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6442894,1,1,4,M,22,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6442930,1,1,4,M,80,4,1,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6442949,2,1,4,M,26,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6442953,1,1,4,M,32,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6442957,1,1,4,F,58,3,1,P,W,3,"SAN DIEGO","SAN DIEGO",2014
6442978,1,1,2,F,4,0,4,M,Q,0,"SAN DIEGO","SAN DIEGO",2014
6442978,1,2,2,F,1,0,4,M,Q,0,"SAN DIEGO","SAN DIEGO",2014
6442978,2,1,4,M,27,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6442986,1,1,4,M,67,3,9,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6442986,2,1,2,F,19,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6442986,2,2,2,M,17,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6443313,2,1,4,M,42,3,1,M,W,1,"SAN DIEGO","SAN DIEGO",2014
6443317,2,1,4,F,45,3,9,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6443334,1,1,4,M,18,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6443337,2,1,4,F,33,3,9,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6443358,1,1,4,M,14,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6443733,2,1,4,F,33,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6443749,1,1,4,M,29,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6443757,1,1,4,M,56,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6443768,1,1,4,M,51,2,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6443780,1,1,4,F,21,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6443784,1,1,4,M,43,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6443800,1,1,4,M,27,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6445439,2,1,4,M,998,4,1,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6446175,1,1,4,M,20,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6446181,1,1,4,F,36,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6447140,1,1,4,-,47,4,9,P,-,3,"SAN DIEGO","SAN DIEGO",2014
6447156,1,1,4,M,49,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6449080,1,1,4,M,16,3,1,N,W,0,"SAN DIEGO","SAN DIEGO",2014
6449080,1,2,2,F,17,0,2,N,Y,0,"SAN DIEGO","SAN DIEGO",2014
6449080,1,3,2,M,16,0,6,N,Y,0,"SAN DIEGO","SAN DIEGO",2014
